epoch,mpe_mpe-large-spread-v1_magic_aaai64 - _step,mpe_mpe-large-spread-v1_magic_aaai64 - _step__MIN,mpe_mpe-large-spread-v1_magic_aaai64 - _step__MAX,mpe_mpe-large-spread-v1_magic_aaai64 - episode_return,mpe_mpe-large-spread-v1_magic_aaai64 - episode_return__MIN,mpe_mpe-large-spread-v1_magic_aaai64 - episode_return__MAX,mpe_mpe-large-spread-v1_tarmac_aaai64 - _step,mpe_mpe-large-spread-v1_tarmac_aaai64 - _step__MIN,mpe_mpe-large-spread-v1_tarmac_aaai64 - _step__MAX,mpe_mpe-large-spread-v1_tarmac_aaai64 - episode_return,mpe_mpe-large-spread-v1_tarmac_aaai64 - episode_return__MIN,mpe_mpe-large-spread-v1_tarmac_aaai64 - episode_return__MAX,mpe_mpe-large-spread-v1_commnet_aaai64 - _step,mpe_mpe-large-spread-v1_commnet_aaai64 - _step__MIN,mpe_mpe-large-spread-v1_commnet_aaai64 - _step__MAX,mpe_mpe-large-spread-v1_commnet_aaai64 - episode_return,mpe_mpe-large-spread-v1_commnet_aaai64 - episode_return__MIN,mpe_mpe-large-spread-v1_commnet_aaai64 - episode_return__MAX,mpe_mpe-large-spread-v1_ic3net_aaai64 - _step,mpe_mpe-large-spread-v1_ic3net_aaai64 - _step__MIN,mpe_mpe-large-spread-v1_ic3net_aaai64 - _step__MAX,mpe_mpe-large-spread-v1_ic3net_aaai64 - episode_return,mpe_mpe-large-spread-v1_ic3net_aaai64 - episode_return__MIN,mpe_mpe-large-spread-v1_ic3net_aaai64 - episode_return__MAX,mpe_mpe-large-spread-v1_tiecomm_aaai - _step,mpe_mpe-large-spread-v1_tiecomm_aaai - _step__MIN,mpe_mpe-large-spread-v1_tiecomm_aaai - _step__MAX,mpe_mpe-large-spread-v1_tiecomm_aaai - episode_return,mpe_mpe-large-spread-v1_tiecomm_aaai - episode_return__MIN,mpe_mpe-large-spread-v1_tiecomm_aaai - episode_return__MAX
218,218,218,218,-481.9666667,-481.9666667,-481.9666667,218,218,218,-534.5666667,-534.5666667,-534.5666667,218,218,218,-486.8333333,-486.8333333,-486.8333333,218,218,218,-508.15,-508.15,-508.15,218,218,218,-499.2666667,-499.2666667,-499.2666667
219,219,219,219,-528.6833333,-528.6833333,-528.6833333,219,219,219,-580.3333333,-580.3333333,-580.3333333,219,219,219,-497.2166667,-497.2166667,-497.2166667,219,219,219,-552.7833333,-552.7833333,-552.7833333,219,219,219,-460.8666667,-460.8666667,-460.8666667
220,220,220,220,-503.3,-503.3,-503.3,220,220,220,-624.0666667,-624.0666667,-624.0666667,220,220,220,-480.1833333,-480.1833333,-480.1833333,220,220,220,-463.6,-463.6,-463.6,220,220,220,-441.3833333,-441.3833333,-441.3833333
221,221,221,221,-527.85,-527.85,-527.85,221,221,221,-536.5333333,-536.5333333,-536.5333333,221,221,221,-531.2,-531.2,-531.2,221,221,221,-489.5166667,-489.5166667,-489.5166667,221,221,221,-451.8666667,-451.8666667,-451.8666667
222,222,222,222,-547.5166667,-547.5166667,-547.5166667,222,222,222,-537.1333333,-537.1333333,-537.1333333,222,222,222,-505.7333333,-505.7333333,-505.7333333,222,222,222,-475.8333333,-475.8333333,-475.8333333,222,222,222,-574.2333333,-574.2333333,-574.2333333
223,223,223,223,-467.75,-467.75,-467.75,223,223,223,-596.5,-596.5,-596.5,223,223,223,-551.2666667,-551.2666667,-551.2666667,223,223,223,-512,-512,-512,223,223,223,-465.7166667,-465.7166667,-465.7166667
224,224,224,224,-510.65,-510.65,-510.65,224,224,224,-502.1833333,-502.1833333,-502.1833333,224,224,224,-525.05,-525.05,-525.05,224,224,224,-481.0833333,-481.0833333,-481.0833333,224,224,224,-491.8333333,-491.8333333,-491.8333333
225,225,225,225,-503.2,-503.2,-503.2,225,225,225,-469.7333333,-469.7333333,-469.7333333,225,225,225,-474.9333333,-474.9333333,-474.9333333,225,225,225,-494.3166667,-494.3166667,-494.3166667,225,225,225,-579.1833333,-579.1833333,-579.1833333
226,226,226,226,-529.9,-529.9,-529.9,226,226,226,-600.1666667,-600.1666667,-600.1666667,226,226,226,-563.9166667,-563.9166667,-563.9166667,226,226,226,-512.7333333,-512.7333333,-512.7333333,226,226,226,-510.1333333,-510.1333333,-510.1333333
227,227,227,227,-553.75,-553.75,-553.75,227,227,227,-547.5166667,-547.5166667,-547.5166667,227,227,227,-596.7166667,-596.7166667,-596.7166667,227,227,227,-500.6,-500.6,-500.6,227,227,227,-537.3833333,-537.3833333,-537.3833333
228,228,228,228,-444.2833333,-444.2833333,-444.2833333,228,228,228,-581.6833333,-581.6833333,-581.6833333,228,228,228,-489.7333333,-489.7333333,-489.7333333,228,228,228,-506.7666667,-506.7666667,-506.7666667,228,228,228,-513.5666667,-513.5666667,-513.5666667
229,229,229,229,-510.1333333,-510.1333333,-510.1333333,229,229,229,-535.1666667,-535.1666667,-535.1666667,229,229,229,-532.7833333,-532.7833333,-532.7833333,229,229,229,-608.1,-608.1,-608.1,229,229,229,-523.5666667,-523.5666667,-523.5666667
230,230,230,230,-487.15,-487.15,-487.15,230,230,230,-452.2666667,-452.2666667,-452.2666667,230,230,230,-562.9166667,-562.9166667,-562.9166667,230,230,230,-449.1833333,-449.1833333,-449.1833333,230,230,230,-496.2333333,-496.2333333,-496.2333333
231,231,231,231,-488.4833333,-488.4833333,-488.4833333,231,231,231,-557.15,-557.15,-557.15,231,231,231,-493.2,-493.2,-493.2,231,231,231,-513.0166667,-513.0166667,-513.0166667,231,231,231,-570.0666667,-570.0666667,-570.0666667
232,232,232,232,-472.4666667,-472.4666667,-472.4666667,232,232,232,-539.9833333,-539.9833333,-539.9833333,232,232,232,-520.3833333,-520.3833333,-520.3833333,232,232,232,-500.3833333,-500.3833333,-500.3833333,232,232,232,-521.8666667,-521.8666667,-521.8666667
233,233,233,233,-564.1333333,-564.1333333,-564.1333333,233,233,233,-485.6666667,-485.6666667,-485.6666667,233,233,233,-534.0166667,-534.0166667,-534.0166667,233,233,233,-478.3166667,-478.3166667,-478.3166667,233,233,233,-501.7333333,-501.7333333,-501.7333333
234,234,234,234,-503.5333333,-503.5333333,-503.5333333,234,234,234,-506.2166667,-506.2166667,-506.2166667,234,234,234,-610.9666667,-610.9666667,-610.9666667,234,234,234,-482.3666667,-482.3666667,-482.3666667,234,234,234,-485.8333333,-485.8333333,-485.8333333
235,235,235,235,-455.3333333,-455.3333333,-455.3333333,235,235,235,-557.1166667,-557.1166667,-557.1166667,235,235,235,-597.5,-597.5,-597.5,235,235,235,-498.6166667,-498.6166667,-498.6166667,235,235,235,-477.35,-477.35,-477.35
236,236,236,236,-554.5333333,-554.5333333,-554.5333333,236,236,236,-524.4,-524.4,-524.4,236,236,236,-549.4,-549.4,-549.4,236,236,236,-511.6166667,-511.6166667,-511.6166667,236,236,236,-472.4333333,-472.4333333,-472.4333333
237,237,237,237,-534.5166667,-534.5166667,-534.5166667,237,237,237,-464.45,-464.45,-464.45,237,237,237,-457.35,-457.35,-457.35,237,237,237,-515.9166667,-515.9166667,-515.9166667,237,237,237,-496.85,-496.85,-496.85
238,238,238,238,-485.3666667,-485.3666667,-485.3666667,238,238,238,-594.7333333,-594.7333333,-594.7333333,238,238,238,-499.05,-499.05,-499.05,238,238,238,-527.2833333,-527.2833333,-527.2833333,238,238,238,-499.4,-499.4,-499.4
239,239,239,239,-473.8666667,-473.8666667,-473.8666667,239,239,239,-544.5666667,-544.5666667,-544.5666667,239,239,239,-594.25,-594.25,-594.25,239,239,239,-443.3166667,-443.3166667,-443.3166667,239,239,239,-458.85,-458.85,-458.85
240,240,240,240,-577.9333333,-577.9333333,-577.9333333,240,240,240,-529.5666667,-529.5666667,-529.5666667,240,240,240,-609.75,-609.75,-609.75,240,240,240,-525.3833333,-525.3833333,-525.3833333,240,240,240,-502.7166667,-502.7166667,-502.7166667
241,241,241,241,-461.9166667,-461.9166667,-461.9166667,241,241,241,-492.8,-492.8,-492.8,241,241,241,-469.85,-469.85,-469.85,241,241,241,-555.9833333,-555.9833333,-555.9833333,241,241,241,-498.0666667,-498.0666667,-498.0666667
242,242,242,242,-465.7,-465.7,-465.7,242,242,242,-565.6333333,-565.6333333,-565.6333333,242,242,242,-548.05,-548.05,-548.05,242,242,242,-535.0833333,-535.0833333,-535.0833333,242,242,242,-486.7166667,-486.7166667,-486.7166667
243,243,243,243,-497.6833333,-497.6833333,-497.6833333,243,243,243,-529.05,-529.05,-529.05,243,243,243,-543.9333333,-543.9333333,-543.9333333,243,243,243,-503.8166667,-503.8166667,-503.8166667,243,243,243,-431.5,-431.5,-431.5
244,244,244,244,-533,-533,-533,244,244,244,-481.2666667,-481.2666667,-481.2666667,244,244,244,-492.35,-492.35,-492.35,244,244,244,-520.3166667,-520.3166667,-520.3166667,244,244,244,-490.4,-490.4,-490.4
245,245,245,245,-485.7166667,-485.7166667,-485.7166667,245,245,245,-462.9666667,-462.9666667,-462.9666667,245,245,245,-512.1,-512.1,-512.1,245,245,245,-558.6166667,-558.6166667,-558.6166667,245,245,245,-500.9333333,-500.9333333,-500.9333333
246,246,246,246,-443.6333333,-443.6333333,-443.6333333,246,246,246,-518.6333333,-518.6333333,-518.6333333,246,246,246,-497.5,-497.5,-497.5,246,246,246,-545.6,-545.6,-545.6,246,246,246,-476.5,-476.5,-476.5
247,247,247,247,-487.8,-487.8,-487.8,247,247,247,-498.1666667,-498.1666667,-498.1666667,247,247,247,-491.0333333,-491.0333333,-491.0333333,247,247,247,-518.95,-518.95,-518.95,247,247,247,-475.5833333,-475.5833333,-475.5833333
248,248,248,248,-525.3,-525.3,-525.3,248,248,248,-551.8333333,-551.8333333,-551.8333333,248,248,248,-489.5166667,-489.5166667,-489.5166667,248,248,248,-494.6666667,-494.6666667,-494.6666667,248,248,248,-485.65,-485.65,-485.65
249,249,249,249,-498.5833333,-498.5833333,-498.5833333,249,249,249,-550.4166667,-550.4166667,-550.4166667,249,249,249,-460.1,-460.1,-460.1,249,249,249,-503.2,-503.2,-503.2,249,249,249,-448.35,-448.35,-448.35
250,250,250,250,-507.7833333,-507.7833333,-507.7833333,250,250,250,-530.1666667,-530.1666667,-530.1666667,250,250,250,-536,-536,-536,250,250,250,-488.3333333,-488.3333333,-488.3333333,250,250,250,-537.3833333,-537.3833333,-537.3833333
251,251,251,251,-486.95,-486.95,-486.95,251,251,251,-555.8833333,-555.8833333,-555.8833333,251,251,251,-516.4333333,-516.4333333,-516.4333333,251,251,251,-493.3,-493.3,-493.3,251,251,251,-498.6166667,-498.6166667,-498.6166667
252,252,252,252,-491.9333333,-491.9333333,-491.9333333,252,252,252,-527.0666667,-527.0666667,-527.0666667,252,252,252,-484.9,-484.9,-484.9,252,252,252,-450.5,-450.5,-450.5,252,252,252,-484.3666667,-484.3666667,-484.3666667
253,253,253,253,-463.2166667,-463.2166667,-463.2166667,253,253,253,-499.3,-499.3,-499.3,253,253,253,-509.5166667,-509.5166667,-509.5166667,253,253,253,-524.5,-524.5,-524.5,253,253,253,-542.7833333,-542.7833333,-542.7833333
254,254,254,254,-460.7,-460.7,-460.7,254,254,254,-486.9,-486.9,-486.9,254,254,254,-528.8166667,-528.8166667,-528.8166667,254,254,254,-460.9833333,-460.9833333,-460.9833333,254,254,254,-514.2333333,-514.2333333,-514.2333333
255,255,255,255,-538.75,-538.75,-538.75,255,255,255,-534.0666667,-534.0666667,-534.0666667,255,255,255,-513.1166667,-513.1166667,-513.1166667,255,255,255,-465.4,-465.4,-465.4,255,255,255,-486.7166667,-486.7166667,-486.7166667
256,256,256,256,-471,-471,-471,256,256,256,-509.05,-509.05,-509.05,256,256,256,-475.2,-475.2,-475.2,256,256,256,-492.4166667,-492.4166667,-492.4166667,256,256,256,-516.9166667,-516.9166667,-516.9166667
257,257,257,257,-538.7666667,-538.7666667,-538.7666667,257,257,257,-581.75,-581.75,-581.75,257,257,257,-530.05,-530.05,-530.05,257,257,257,-441.1666667,-441.1666667,-441.1666667,257,257,257,-489.1,-489.1,-489.1
258,258,258,258,-472.1,-472.1,-472.1,258,258,258,-527.95,-527.95,-527.95,258,258,258,-477.2666667,-477.2666667,-477.2666667,258,258,258,-556.8333333,-556.8333333,-556.8333333,258,258,258,-455.75,-455.75,-455.75
259,259,259,259,-400.8,-400.8,-400.8,259,259,259,-566.2833333,-566.2833333,-566.2833333,259,259,259,-565.5166667,-565.5166667,-565.5166667,259,259,259,-508.3666667,-508.3666667,-508.3666667,259,259,259,-520.8833333,-520.8833333,-520.8833333
260,260,260,260,-512.75,-512.75,-512.75,260,260,260,-512.0333333,-512.0333333,-512.0333333,260,260,260,-504.2833333,-504.2833333,-504.2833333,260,260,260,-556.8166667,-556.8166667,-556.8166667,260,260,260,-439.7666667,-439.7666667,-439.7666667
261,261,261,261,-463.7166667,-463.7166667,-463.7166667,261,261,261,-556.7166667,-556.7166667,-556.7166667,261,261,261,-489.0666667,-489.0666667,-489.0666667,261,261,261,-503.3833333,-503.3833333,-503.3833333,261,261,261,-516.4166667,-516.4166667,-516.4166667
262,262,262,262,-470.3,-470.3,-470.3,262,262,262,-554.2666667,-554.2666667,-554.2666667,262,262,262,-499.5,-499.5,-499.5,262,262,262,-509.05,-509.05,-509.05,262,262,262,-477.65,-477.65,-477.65
263,263,263,263,-485.4666667,-485.4666667,-485.4666667,263,263,263,-528.0666667,-528.0666667,-528.0666667,263,263,263,-505.5833333,-505.5833333,-505.5833333,263,263,263,-528.7666667,-528.7666667,-528.7666667,263,263,263,-515.5,-515.5,-515.5
264,264,264,264,-543.8666667,-543.8666667,-543.8666667,264,264,264,-533.8,-533.8,-533.8,264,264,264,-545.6666667,-545.6666667,-545.6666667,264,264,264,-464.65,-464.65,-464.65,264,264,264,-497,-497,-497
265,265,265,265,-592.1333333,-592.1333333,-592.1333333,265,265,265,-534.65,-534.65,-534.65,265,265,265,-468.9666667,-468.9666667,-468.9666667,265,265,265,-506.9333333,-506.9333333,-506.9333333,265,265,265,-503.5333333,-503.5333333,-503.5333333
266,266,266,266,-449.7166667,-449.7166667,-449.7166667,266,266,266,-523.8166667,-523.8166667,-523.8166667,266,266,266,-517.9333333,-517.9333333,-517.9333333,266,266,266,-522.5833333,-522.5833333,-522.5833333,266,266,266,-500.7166667,-500.7166667,-500.7166667
267,267,267,267,-527.5166667,-527.5166667,-527.5166667,267,267,267,-562.1666667,-562.1666667,-562.1666667,267,267,267,-496.2333333,-496.2333333,-496.2333333,267,267,267,-588.5666667,-588.5666667,-588.5666667,267,267,267,-449.3666667,-449.3666667,-449.3666667
268,268,268,268,-517.6333333,-517.6333333,-517.6333333,268,268,268,-501.4166667,-501.4166667,-501.4166667,268,268,268,-552.2833333,-552.2833333,-552.2833333,268,268,268,-511.3666667,-511.3666667,-511.3666667,268,268,268,-533.15,-533.15,-533.15
269,269,269,269,-519.2666667,-519.2666667,-519.2666667,269,269,269,-565.2333333,-565.2333333,-565.2333333,269,269,269,-469.2666667,-469.2666667,-469.2666667,269,269,269,-510.5,-510.5,-510.5,269,269,269,-446.2166667,-446.2166667,-446.2166667
270,270,270,270,-485.4666667,-485.4666667,-485.4666667,270,270,270,-514.8333333,-514.8333333,-514.8333333,270,270,270,-570.1166667,-570.1166667,-570.1166667,270,270,270,-522.65,-522.65,-522.65,270,270,270,-529.2833333,-529.2833333,-529.2833333
271,271,271,271,-502.4,-502.4,-502.4,271,271,271,-525.1333333,-525.1333333,-525.1333333,271,271,271,-491.4166667,-491.4166667,-491.4166667,271,271,271,-485.5333333,-485.5333333,-485.5333333,271,271,271,-449.6,-449.6,-449.6
272,272,272,272,-461.25,-461.25,-461.25,272,272,272,-588,-588,-588,272,272,272,-523.6666667,-523.6666667,-523.6666667,272,272,272,-530.65,-530.65,-530.65,272,272,272,-510.85,-510.85,-510.85
273,273,273,273,-496.25,-496.25,-496.25,273,273,273,-477.95,-477.95,-477.95,273,273,273,-540.2,-540.2,-540.2,273,273,273,-505.2666667,-505.2666667,-505.2666667,273,273,273,-449.0333333,-449.0333333,-449.0333333
274,274,274,274,-518.1,-518.1,-518.1,274,274,274,-464.5333333,-464.5333333,-464.5333333,274,274,274,-501.9166667,-501.9166667,-501.9166667,274,274,274,-518.7666667,-518.7666667,-518.7666667,274,274,274,-496.5166667,-496.5166667,-496.5166667
275,275,275,275,-484.1333333,-484.1333333,-484.1333333,275,275,275,-503.8,-503.8,-503.8,275,275,275,-560.05,-560.05,-560.05,275,275,275,-576.8166667,-576.8166667,-576.8166667,275,275,275,-504.5833333,-504.5833333,-504.5833333
276,276,276,276,-461.0333333,-461.0333333,-461.0333333,276,276,276,-516.7166667,-516.7166667,-516.7166667,276,276,276,-512.4166667,-512.4166667,-512.4166667,276,276,276,-559.7166667,-559.7166667,-559.7166667,276,276,276,-478.1333333,-478.1333333,-478.1333333
277,277,277,277,-510.85,-510.85,-510.85,277,277,277,-483.45,-483.45,-483.45,277,277,277,-464.85,-464.85,-464.85,277,277,277,-573.1166667,-573.1166667,-573.1166667,277,277,277,-469.1,-469.1,-469.1
278,278,278,278,-533.5,-533.5,-533.5,278,278,278,-470.8666667,-470.8666667,-470.8666667,278,278,278,-514.3666667,-514.3666667,-514.3666667,278,278,278,-549.95,-549.95,-549.95,278,278,278,-528,-528,-528
279,279,279,279,-449.35,-449.35,-449.35,279,279,279,-595.4833333,-595.4833333,-595.4833333,279,279,279,-546.65,-546.65,-546.65,279,279,279,-574.05,-574.05,-574.05,279,279,279,-437.05,-437.05,-437.05
280,280,280,280,-485.8166667,-485.8166667,-485.8166667,280,280,280,-509.3333333,-509.3333333,-509.3333333,280,280,280,-525.4666667,-525.4666667,-525.4666667,280,280,280,-473.8833333,-473.8833333,-473.8833333,280,280,280,-468.05,-468.05,-468.05
281,281,281,281,-488.3666667,-488.3666667,-488.3666667,281,281,281,-566.9833333,-566.9833333,-566.9833333,281,281,281,-480.7333333,-480.7333333,-480.7333333,281,281,281,-560.05,-560.05,-560.05,281,281,281,-454.0333333,-454.0333333,-454.0333333
282,282,282,282,-429.3833333,-429.3833333,-429.3833333,282,282,282,-590.0666667,-590.0666667,-590.0666667,282,282,282,-527.4833333,-527.4833333,-527.4833333,282,282,282,-471.2666667,-471.2666667,-471.2666667,282,282,282,-475.1333333,-475.1333333,-475.1333333
283,283,283,283,-503.7333333,-503.7333333,-503.7333333,283,283,283,-530.4833333,-530.4833333,-530.4833333,283,283,283,-611.3166667,-611.3166667,-611.3166667,283,283,283,-487.4666667,-487.4666667,-487.4666667,283,283,283,-386.85,-386.85,-386.85
284,284,284,284,-440.0833333,-440.0833333,-440.0833333,284,284,284,-502.95,-502.95,-502.95,284,284,284,-596.9833333,-596.9833333,-596.9833333,284,284,284,-544.5833333,-544.5833333,-544.5833333,284,284,284,-460.1833333,-460.1833333,-460.1833333
285,285,285,285,-480.4666667,-480.4666667,-480.4666667,285,285,285,-505.55,-505.55,-505.55,285,285,285,-506.9166667,-506.9166667,-506.9166667,285,285,285,-479.8166667,-479.8166667,-479.8166667,285,285,285,-505.8666667,-505.8666667,-505.8666667
286,286,286,286,-516.7166667,-516.7166667,-516.7166667,286,286,286,-482.8,-482.8,-482.8,286,286,286,-544.4833333,-544.4833333,-544.4833333,286,286,286,-578.1,-578.1,-578.1,286,286,286,-466.5666667,-466.5666667,-466.5666667
287,287,287,287,-480.2833333,-480.2833333,-480.2833333,287,287,287,-541.9,-541.9,-541.9,287,287,287,-520.7166667,-520.7166667,-520.7166667,287,287,287,-493.6166667,-493.6166667,-493.6166667,287,287,287,-419.75,-419.75,-419.75
288,288,288,288,-475.8,-475.8,-475.8,288,288,288,-490.4333333,-490.4333333,-490.4333333,288,288,288,-477.5833333,-477.5833333,-477.5833333,288,288,288,-450.9166667,-450.9166667,-450.9166667,288,288,288,-464.65,-464.65,-464.65
289,289,289,289,-451.4166667,-451.4166667,-451.4166667,289,289,289,-498.05,-498.05,-498.05,289,289,289,-624.5,-624.5,-624.5,289,289,289,-492.1166667,-492.1166667,-492.1166667,289,289,289,-475.45,-475.45,-475.45
290,290,290,290,-516.8,-516.8,-516.8,290,290,290,-528.5333333,-528.5333333,-528.5333333,290,290,290,-511.8666667,-511.8666667,-511.8666667,290,290,290,-538.3833333,-538.3833333,-538.3833333,290,290,290,-452.45,-452.45,-452.45
291,291,291,291,-458.5333333,-458.5333333,-458.5333333,291,291,291,-520.6833333,-520.6833333,-520.6833333,291,291,291,-525.85,-525.85,-525.85,291,291,291,-505.2666667,-505.2666667,-505.2666667,291,291,291,-496.5833333,-496.5833333,-496.5833333
292,292,292,292,-522.9833333,-522.9833333,-522.9833333,292,292,292,-559.1333333,-559.1333333,-559.1333333,292,292,292,-516.8666667,-516.8666667,-516.8666667,292,292,292,-546.1166667,-546.1166667,-546.1166667,292,292,292,-536.9666667,-536.9666667,-536.9666667
293,293,293,293,-486.5333333,-486.5333333,-486.5333333,293,293,293,-539.1166667,-539.1166667,-539.1166667,293,293,293,-501.1166667,-501.1166667,-501.1166667,293,293,293,-514.4333333,-514.4333333,-514.4333333,293,293,293,-444.1,-444.1,-444.1
294,294,294,294,-511.65,-511.65,-511.65,294,294,294,-534.2,-534.2,-534.2,294,294,294,-506.95,-506.95,-506.95,294,294,294,-505.5833333,-505.5833333,-505.5833333,294,294,294,-441.4666667,-441.4666667,-441.4666667
295,295,295,295,-428.6,-428.6,-428.6,295,295,295,-513.1666667,-513.1666667,-513.1666667,295,295,295,-542.5666667,-542.5666667,-542.5666667,295,295,295,-523.2666667,-523.2666667,-523.2666667,295,295,295,-480.0333333,-480.0333333,-480.0333333
296,296,296,296,-524.2333333,-524.2333333,-524.2333333,296,296,296,-502.5833333,-502.5833333,-502.5833333,296,296,296,-505.2833333,-505.2833333,-505.2833333,296,296,296,-536.7833333,-536.7833333,-536.7833333,296,296,296,-482.1,-482.1,-482.1
297,297,297,297,-521.0666667,-521.0666667,-521.0666667,297,297,297,-624.15,-624.15,-624.15,297,297,297,-538.5166667,-538.5166667,-538.5166667,297,297,297,-563.6333333,-563.6333333,-563.6333333,297,297,297,-473.4666667,-473.4666667,-473.4666667
298,298,298,298,-482.5166667,-482.5166667,-482.5166667,298,298,298,-468.4166667,-468.4166667,-468.4166667,298,298,298,-539.0166667,-539.0166667,-539.0166667,298,298,298,-476.8,-476.8,-476.8,298,298,298,-493.3333333,-493.3333333,-493.3333333
299,299,299,299,-539.8166667,-539.8166667,-539.8166667,299,299,299,-530.3,-530.3,-530.3,299,299,299,-573.25,-573.25,-573.25,299,299,299,-471.9166667,-471.9166667,-471.9166667,299,299,299,-407.85,-407.85,-407.85
300,300,300,300,-547.35,-547.35,-547.35,300,300,300,-494.3666667,-494.3666667,-494.3666667,300,300,300,-456.9833333,-456.9833333,-456.9833333,300,300,300,-480.4666667,-480.4666667,-480.4666667,300,300,300,-481.3833333,-481.3833333,-481.3833333
301,301,301,301,-511.5833333,-511.5833333,-511.5833333,301,301,301,-464.35,-464.35,-464.35,301,301,301,-450,-450,-450,301,301,301,-522,-522,-522,301,301,301,-453.05,-453.05,-453.05
302,302,302,302,-482.7333333,-482.7333333,-482.7333333,302,302,302,-573.05,-573.05,-573.05,302,302,302,-518.6333333,-518.6333333,-518.6333333,302,302,302,-524.4833333,-524.4833333,-524.4833333,302,302,302,-465.4333333,-465.4333333,-465.4333333
303,303,303,303,-477.3833333,-477.3833333,-477.3833333,303,303,303,-576.2333333,-576.2333333,-576.2333333,303,303,303,-509.5166667,-509.5166667,-509.5166667,303,303,303,-571.5666667,-571.5666667,-571.5666667,303,303,303,-424.7666667,-424.7666667,-424.7666667
304,304,304,304,-521.8666667,-521.8666667,-521.8666667,304,304,304,-522.1666667,-522.1666667,-522.1666667,304,304,304,-504.1166667,-504.1166667,-504.1166667,304,304,304,-564.7333333,-564.7333333,-564.7333333,304,304,304,-533.6333333,-533.6333333,-533.6333333
305,305,305,305,-456.5666667,-456.5666667,-456.5666667,305,305,305,-512.55,-512.55,-512.55,305,305,305,-559.0666667,-559.0666667,-559.0666667,305,305,305,-493.0833333,-493.0833333,-493.0833333,305,305,305,-494.8833333,-494.8833333,-494.8833333
306,306,306,306,-436.4666667,-436.4666667,-436.4666667,306,306,306,-595.8666667,-595.8666667,-595.8666667,306,306,306,-586.2166667,-586.2166667,-586.2166667,306,306,306,-497.5333333,-497.5333333,-497.5333333,306,306,306,-494.0666667,-494.0666667,-494.0666667
307,307,307,307,-502.5666667,-502.5666667,-502.5666667,307,307,307,-536.5166667,-536.5166667,-536.5166667,307,307,307,-517.6,-517.6,-517.6,307,307,307,-524.7,-524.7,-524.7,307,307,307,-526.65,-526.65,-526.65
308,308,308,308,-455.85,-455.85,-455.85,308,308,308,-573.95,-573.95,-573.95,308,308,308,-506.55,-506.55,-506.55,308,308,308,-551.2333333,-551.2333333,-551.2333333,308,308,308,-449.5,-449.5,-449.5
309,309,309,309,-430.1333333,-430.1333333,-430.1333333,309,309,309,-514.5,-514.5,-514.5,309,309,309,-465.5666667,-465.5666667,-465.5666667,309,309,309,-518.9333333,-518.9333333,-518.9333333,309,309,309,-449.9333333,-449.9333333,-449.9333333
310,310,310,310,-496.8,-496.8,-496.8,310,310,310,-506.5333333,-506.5333333,-506.5333333,310,310,310,-523.8666667,-523.8666667,-523.8666667,310,310,310,-512.35,-512.35,-512.35,310,310,310,-482,-482,-482
311,311,311,311,-494.3,-494.3,-494.3,311,311,311,-544.75,-544.75,-544.75,311,311,311,-547.0833333,-547.0833333,-547.0833333,311,311,311,-519.5666667,-519.5666667,-519.5666667,311,311,311,-535.4166667,-535.4166667,-535.4166667
312,312,312,312,-527.6333333,-527.6333333,-527.6333333,312,312,312,-517.0333333,-517.0333333,-517.0333333,312,312,312,-487.2666667,-487.2666667,-487.2666667,312,312,312,-529.4,-529.4,-529.4,312,312,312,-519.8333333,-519.8333333,-519.8333333
313,313,313,313,-510.6166667,-510.6166667,-510.6166667,313,313,313,-506.65,-506.65,-506.65,313,313,313,-562.55,-562.55,-562.55,313,313,313,-512.3666667,-512.3666667,-512.3666667,313,313,313,-510.35,-510.35,-510.35
314,314,314,314,-478.4,-478.4,-478.4,314,314,314,-547.9,-547.9,-547.9,314,314,314,-522.8,-522.8,-522.8,314,314,314,-513.9166667,-513.9166667,-513.9166667,314,314,314,-451.2833333,-451.2833333,-451.2833333
315,315,315,315,-497.65,-497.65,-497.65,315,315,315,-505.0333333,-505.0333333,-505.0333333,315,315,315,-520.9166667,-520.9166667,-520.9166667,315,315,315,-491.4666667,-491.4666667,-491.4666667,315,315,315,-483.2166667,-483.2166667,-483.2166667
316,316,316,316,-486.7666667,-486.7666667,-486.7666667,316,316,316,-518.1166667,-518.1166667,-518.1166667,316,316,316,-458.6166667,-458.6166667,-458.6166667,316,316,316,-467.7833333,-467.7833333,-467.7833333,316,316,316,-537.95,-537.95,-537.95
317,317,317,317,-420.0833333,-420.0833333,-420.0833333,317,317,317,-559.7333333,-559.7333333,-559.7333333,317,317,317,-549.7666667,-549.7666667,-549.7666667,317,317,317,-526.55,-526.55,-526.55,317,317,317,-462.0666667,-462.0666667,-462.0666667
318,318,318,318,-533.9166667,-533.9166667,-533.9166667,318,318,318,-505.7166667,-505.7166667,-505.7166667,318,318,318,-500.3833333,-500.3833333,-500.3833333,318,318,318,-535.1166667,-535.1166667,-535.1166667,318,318,318,-466.5666667,-466.5666667,-466.5666667
319,319,319,319,-485.8333333,-485.8333333,-485.8333333,319,319,319,-505.95,-505.95,-505.95,319,319,319,-528.95,-528.95,-528.95,319,319,319,-533.45,-533.45,-533.45,319,319,319,-488.9833333,-488.9833333,-488.9833333
